description,price,rating,review_count,url
Sony WH-1000XM4 Wireless Noise Canceling Over-Ear Headphones (Black) with Knox Gear 4-Port USB 3.0 Hub and USB Bluetooth Dongle Adapter Work from Home Bundle (3 Items),$349.99,4.0 out of 5 stars,28,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-Bluetooth/dp/B08K989CZR/ref=sr_1_50?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-50
Sony MDR7506 Professional Large Diaphragm Headphone (International Model) No Warranty,$112.00,4.6 out of 5 stars,228,https://www.amazon.com/Sony-Professional-Diaphragm-Headphone-International/dp/B01EJVYN3K/ref=sr_1_51?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-51
"Sony WH-1000XM4 Wireless Industry Leading Noise Cancelling Over-Ear Headphones with Mic for Hands Free Calling and Alexa, Silver WH-1000XM4/S Bundle w/Case + Deco Gear Power Bank Charger + Gym Bag",$348.00,4.3 out of 5 stars,26,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Cancelling-Headphones/dp/B08JX8DRFS/ref=sr_1_52?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-52
"Sony MDRXB400/BLU Extra Bass Over The Head 30 mm Driver Headphone, Blue",$59.95,4.6 out of 5 stars,291,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A06087811HNGFWJFUYZNQ&url=%2FSony-MDRXB400-BLU-Driver-Headphone%2Fdp%2FB009A6CZYE%2Fref%3Dsr_1_53_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342781%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-53-spons%26psc%3D1&qualifier=1625342781&id=6153814840434742&widgetName=sp_btf
"Fromsky Case for Sony WH-CH710N Headphone, Travel Protective Cover Storage Bag (Black)",$13.99,4.7 out of 5 stars,401,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A06188162N87PRD7Z5080&url=%2FFromsky-WH-CH700N-Headphone-Protective-Storage%2Fdp%2FB07ZTGKSV1%2Fref%3Dsr_1_54_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342781%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-54-spons%26psc%3D1%26smid%3DA166OYWLNXM0LR&qualifier=1625342781&id=6153814840434742&widgetName=sp_btf
"Amazing 7 Cat’s Ears LED Bluetooth Headphones, Active Noise Cancelling Headphones, Wireless Headsets Over Ear, 8Hours Playtime, Hi-Fi Stereo, Deep Bass for Music Game DJ (Lavender Purple)",$69.99,,Save $7.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A086358516X7W39L1OV7P&url=%2FAmazing-Bluetooth-Headphones-Cancelling-Wireless%2Fdp%2FB08XZ537SD%2Fref%3Dsr_1_49_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342785%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-49-spons%26psc%3D1&qualifier=1625342785&id=2416947247942606&widgetName=sp_atf_next
"Jabra Elite Active 75t True Wireless Bluetooth Earbuds, Sienna – Wireless Earbuds for Running and Sport, Charging Case Included, 24 Hour Battery, Active Noise Cancelling Sport Earbuds",$179.99,4.3 out of 5 stars,8122,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A07377601XD26W9KVRQWJ&url=%2FJabra-Active-Wireless-Bluetooth-Earbuds%2Fdp%2FB086VR3T39%2Fref%3Dsr_1_50_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342785%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-50-spons%26psc%3D1&qualifier=1625342785&id=2416947247942606&widgetName=sp_atf_next
"Sony MDRZX110NC Noise Cancelling Headphones, Black",$29.27,4.3 out of 5 stars,7641,https://www.amazon.com/Sony-MDRZX110NC-Noise-Cancelling-Headphones/dp/B00NG57H4S/ref=sr_1_51?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-51
Sony WH-910N Wireless Bluetooth Headphones Noise Canceling (Renewed),$92.97,4.5 out of 5 stars,166,https://www.amazon.com/Sony-WH-910N-Bluetooth-Headphones-Canceling/dp/B08C9FLB2L/ref=sr_1_52?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-52
Sony WHCH710N Wireless Bluetooth Noise-Canceling Over-The-Ear Headphones (Black) with Knox Gear Protective Headphone Case and USB Bluetooth Adapter Bundle (3 Items),$178.00,4.5 out of 5 stars,102,https://www.amazon.com/Sony-Bluetooth-Noise-Canceling-Headphones-Protective/dp/B087V6TVPD/ref=sr_1_53?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-53
SONY - WH-H910N h.Ear on 3 Wireless Noise Canceling Over-The-Ear Bluetooth Dual Noise Cancellation Microphones High-Resolution Audio Earcups Stereophony Headphones - Black + iCarp Audio Extension,$169.00,4.3 out of 5 stars,39,https://www.amazon.com/SONY-Over-Ear-Cancellation-High-Resolution/dp/B0933BCKVN/ref=sr_1_54?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-54
Sony WF-SP800N Truly Wireless Sports in-Ear Noise Canceling Headphones (Black) with Knox Gear Noise Isolating Memory Foam and Silicone Ear Tips (3 Pairs Each) Bundle (2 Items),$119.99,4.6 out of 5 stars,24,https://www.amazon.com/Sony-WF-SP800N-Canceling-Headphones-Isolating/dp/B08BWYPW2M/ref=sr_1_55?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-55
Sony MDR V55,$98.89,4.4 out of 5 stars,1002,https://www.amazon.com/Sony-MDR-V55-BR-Style-Headphones/dp/B00J5HWJMQ/ref=sr_1_56?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-56
"Sony WH-1000XM4 Wireless Noise Cancelling Over-Ear Headphone Bundle with gSport Hardshell Case and 20,000 mAh Powerbank (Black)",$348.00,4.6 out of 5 stars,66,https://www.amazon.com/Sony-WH-1000XM4-Cancelling-Headphone-Hardshell/dp/B08N5GBS8P/ref=sr_1_57?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-57
Sony MDRE9LP/BLK Ear Buds,$8.75,4.3 out of 5 stars,9486,https://www.amazon.com/Sony-MDRE9LP-BLK-Ear-Buds/dp/B004RE3YNA/ref=sr_1_58?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-58
"Krone Kalpasmos Replacement Pads for Sony MDR-7506 Headphones, Instant-Chill Cooling Gel Compatible with Sony MDR 7506 MDR V6 MDR V7 MDR CD900ST, Ice Silk Cloth Memory Foam Earpads",$16.99,4.7 out of 5 stars,60,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A02811366A06HXTYQD4X&url=%2FKrone-Kalpasmos-Replacement-MDR-7506-Headphones%2Fdp%2FB07N6GL2PG%2Fref%3Dsr_1_59_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342785%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-59-spons%26psc%3D1&qualifier=1625342785&id=2416947247942606&widgetName=sp_mtf
"USB Headset with Noise Cancelling Microphone, Mono Computer Headphone for Call Center Office Business PC Softphone Calls Microsoft Teams Skype Chat, Clear Voice for Voice Recognition, Comfortable",$43.99,4.3 out of 5 stars,2435,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A09799693JS7JLJ02HV3F&url=%2FCancelling-Microphone-Recognition-Dictation-Headphone%2Fdp%2FB0814B53GD%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342785%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-60-spons%26psc%3D1&qualifier=1625342785&id=2416947247942606&widgetName=sp_mtf
"Sony XB950B1 Extra Bass Wireless Headphones with App Control, Black",$198.95,4.4 out of 5 stars,3037,https://www.amazon.com/Sony-XB950B1-Wireless-Headphones-Control/dp/B01N5UVZBP/ref=sr_1_61?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-61
Sony MDR7506 Professional Large Diaphragm Headphone with Knox Gear Hard Shell Headphone Case Bundle (2 Items),$129.99,4.8 out of 5 stars,20,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B08GKW7H1C/ref=sr_1_63?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-63
SONY Walkman 4GB headphone-integrated NW-WS413 (Lime Green),$99.99,4.1 out of 5 stars,420,https://www.amazon.com/SONY-Walkman-headphone-integrated-NW-WS413-Green/dp/B01BBWU9V0/ref=sr_1_64?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-64
Sony WF-XB700 Truly Wireless Bluetooth Headphones with Extra BASS WFXB700/L Blue Bundle with Tech Smart USA Audio Entertainment Essentials Bundle 2020 + 1 Year Extended Protection Plan,$128.00, , ,https://www.amazon.com/Sony-Headphones-Entertainment-Essentials-Protection/dp/B0976VGMM2/ref=sr_1_65?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-65
"Sony WH-1000XM4 Wireless Noise Canceling Overhead Headphones with Mic for Phone-Call, Voice Control, Black, with USB Wall Adapter and Microfiber Cleaning Cloth - Bundle",$281.49,4.5 out of 5 stars,64,https://www.amazon.com/Sony-WH-1000XM4-Headphones-Phone-Call-Microfiber/dp/B08LW4P9K4/ref=sr_1_66?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-66
Sony MDR-XB450AP Extra Bass Headphone - Blue (International Version U.S. warranty may not apply),$129.95,4.5 out of 5 stars,212,https://www.amazon.com/Sony-MDR-XB450AP-Extra-Bass-Headphone/dp/B00NBR6GR0/ref=sr_1_67?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-67
Sony Noise Cancelling Headphones WHCH700N: Wireless Bluetooth Over the Ear Headset with Mic for phone-call and Alexa voice control - Blue,$198.00,4.5 out of 5 stars,1423,https://www.amazon.com/Sony-WH-CH700N-Canceling-Headphones-WHCH700N/dp/B079GV1M9Z/ref=sr_1_68?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342785&sprefix=ultra%2Caps%2C198&sr=8-68
"Puro Sound Labs: PuroPro Hybrid Active Noise Cancelling Volume Limiting Headphones, Wireless Over Ear Bluetooth Headphones, 32h Playtime, Hi-Res Audio, Memory Foam Ear Cups, for Travel and Home Office",$199.99,4.6 out of 5 stars,75,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A076807232TT3EXE3BWH2&url=%2FPuro-Sound-Labs-Cancelling-Headphones%2Fdp%2FB087QV671C%2Fref%3Dsr_1_69_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342785%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-69-spons%26psc%3D1&qualifier=1625342785&id=2416947247942606&widgetName=sp_btf
Sony MDR-Z7M2 Hi-Res Stereo Overhead Headphones Headphone (MDRZ7M2) Black,$598.00,4.5 out of 5 stars,48,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A03925563SPW6ODHD5WOI&url=%2FSony-MDR-Z7M2-Headphones-Headphone-MDRZ7M2%2Fdp%2FB07G7LZNTW%2Fref%3Dsr_1_70_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342785%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-70-spons%26psc%3D1%26smid%3DAXCB29L39I26U&qualifier=1625342785&id=2416947247942606&widgetName=sp_btf
